country,year,hours_worked,coffee_kg_pc,gdp_pc,population,unemployment_rate,income_group
Denmark,2012,1423.267,12.29,58443.7747103968,5591572.0,7.798,High income
Denmark,2013,1425.736,11.96,61377.5940590412,5614932.0,7.384,High income
Denmark,2014,1413.646,13.44,62520.4509747011,5643475.0,6.925,High income
Denmark,2015,1406.894,11.68,53094.0133607574,5683483.0,6.278,High income
Denmark,2016,1412.018,10.82,54500.9260410217,5728010.0,5.989,High income
Denmark,2017,1404.081,11.08,57521.5514992225,5764980.0,5.833,High income
Denmark,2018,1380.78,11.32,61324.7665045565,5793636.0,5.131,High income
Denmark,2019,1372.385,12.24,59404.2663247723,5814422.0,5.018,High income
Estonia,2010,1785.29,13.46,14663.7041018705,1331475.0,16.707,High income
Estonia,2011,1827.345,12.65,17555.5455239426,1327439.0,12.328,High income
Estonia,2012,1795.751,14.7,17568.2137969714,1322696.0,10.021,High income
Estonia,2013,1776.854,15.29,19310.3874900757,1317997.0,8.631,High income
Estonia,2014,1770.748,16.24,20581.7898991695,1314545.0,7.352,High income
Estonia,2015,1763.306,13.71,17722.1557669523,1315407.0,6.412,High income
Estonia,2016,1766.718,12.58,18666.3736521706,1315790.0,6.882,High income
Estonia,2017,1768.131,13.74,20851.5223496861,1317384.0,5.807,High income
Estonia,2018,1707.299,16.48,23618.1361254581,1321977.0,5.412,High income
Estonia,2019,1694.293,16.75,24021.2501413306,1326898.0,4.514,High income
France,2010,1528.035,5.62,40694.8211697025,65026211.0,9.279,High income
France,2011,1533.702,5.5,43929.7840873812,65340830.0,9.228,High income
France,2012,1527.898,5.5,40863.5814412333,65657659.0,9.841,High income
France,2013,1512.796,5.68,42669.1795111893,65997932.0,9.913,High income
France,2014,1504.182,5.52,43148.0459288416,66312067.0,10.273,High income
France,2015,1504.331,5.75,36702.4323733379,66548272.0,10.354,High income
France,2016,1507.395,5.44,37024.2157133669,66724104.0,10.057,High income
France,2017,1492.042,5.13,38687.1626407164,66918020.0,9.409,High income
France,2018,1499.651,5.6,41418.1766484844,67158348.0,9.018,High income
France,2019,1504.382,5.81,40408.2848574751,67382061.0,8.415,High income
Germany,2010,1425.368,5.98,42396.9665976293,81776930.0,7.043,High income
Germany,2011,1427.183,6.04,47630.9761883572,80274983.0,5.967,High income
Germany,2012,1405.995,7.19,44718.0159214069,80425823.0,5.372,High income
Germany,2013,1395.734,6.9,47206.8353514242,80645605.0,5.316,High income
Germany,2014,1400.007,6.63,48959.5991203133,80982500.0,4.979,High income
Germany,2015,1401.59,6.85,41929.7549110722,81686611.0,4.612,High income
Germany,2016,1395.829,6.9,42948.9381932694,82348669.0,4.104,High income
Germany,2017,1388.212,6.18,45553.9341495339,82657002.0,3.781,High income
Germany,2018,1380.726,6.02,48916.1686612154,82905782.0,3.384,High income
Germany,2019,1372.045,6.28,47656.199739747,83092962.0,3.163,High income
Greece,2010,1931.078,11.76,26653.0488008626,11121341.0,12.719,High income
Greece,2011,1950.219,12.2,25504.7866510124,11104899.0,17.973,High income
Greece,2012,1989.93,12.13,21624.346052551,11045011.0,24.731,High income
Greece,2013,1996.605,14.44,21573.3449762805,10965211.0,27.686,High income
Greece,2014,1949.332,12.76,21474.7257123892,10892413.0,26.708,High income
Greece,2015,1934.986,12.8,17980.7298238137,10820883.0,24.981,High income
Greece,2016,1942.727,12.3,17919.2426377048,10775971.0,23.514,High income
Greece,2017,1946.938,8.41,18631.9930129293,10754679.0,21.413,High income
Greece,2018,1961.081,9.04,19873.4015238771,10732882.0,19.179,High income
Greece,2019,1917.592,9.77,19335.3602002969,10721582.0,17.045,High income
Hungary,2010,1759.832,0.55,13189.8433874768,10000023.0,11.172,High income
Hungary,2011,1747.195,0.91,14211.460557822,9971727.0,11.029,High income
Hungary,2012,1744.73,0.0,12950.1594488143,9920362.0,11.003,High income
Hungary,2013,1740.719,0.13,13739.4620151401,9872734.0,10.177,High income
Hungary,2014,1749.015,1.28,14352.501883174,9833038.0,7.725,High income
Hungary,2015,1742.848,1.01,12782.9412577973,9797755.0,6.813,High income
Hungary,2016,1755.904,1.08,13215.8605277789,9759755.0,5.115,High income
Hungary,2017,1749.673,1.39,14736.1668157258,9726756.0,4.156,High income
Hungary,2018,1736.875,1.78,16605.0570511887,9706964.0,3.667,High income
Hungary,2019,1728.264,1.9,17012.8598553199,9694824.0,3.411,High income
Iceland,2010,1527.852,7.89,43776.4677400475,318041.0,7.564,High income
Iceland,2011,1537.681,8.04,48254.953927254,319014.0,7.028,High income
Iceland,2012,1523.065,10.45,46594.9869146614,320716.0,6.0,High income
Iceland,2013,1524.133,10.04,50173.3360061057,323764.0,5.376,High income
Iceland,2014,1513.436,8.88,55140.364935793,327386.0,4.897,High income
Iceland,2015,1511.402,8.4,53505.6964079339,330815.0,3.979,High income
Iceland,2016,1519.995,9.31,62854.0906407932,335439.0,2.978,High income
Iceland,2017,1507.077,8.68,72976.3729990975,343400.0,2.742,High income
Iceland,2018,1496.456,8.72,75633.8651351915,352721.0,2.704,High income
Iceland,2019,1480.148,8.57,69296.3144361601,360563.0,3.507,High income
Ireland,2010,1664.9,5.98,48623.9666422487,4560155.0,14.534,High income
Ireland,2013,1677.3,5.99,52537.6108648692,4623816.0,13.735,High income
Ireland,2014,1688.9,7.0,57214.5379785709,4657740.0,11.858,High income
Ireland,2015,1682.1,7.88,64250.1385181257,4701957.0,9.908,High income
Ireland,2016,1705.0,8.19,64129.5571542383,4762722.0,8.374,High income
Ireland,2017,1727.3,8.7,72161.4047531385,4827445.0,6.713,High income
Ireland,2018,1742.4,9.65,80804.1123164826,4898022.0,5.741,High income
Israel,2010,1950.301,4.31,31439.0887027614,7623600.0,8.48,High income
Israel,2011,1941.947,4.04,34522.5215979073,7765800.0,7.139,High income
Israel,2012,1916.593,4.15,33321.4300881602,7910500.0,6.762,High income
Israel,2013,1906.779,4.16,37034.3161080785,8059500.0,6.137,High income
Israel,2014,1893.307,4.59,38343.3046626235,8215700.0,5.789,High income
Israel,2015,1894.42,4.8,36213.1041481958,8380100.0,5.176,High income
Israel,2016,1918.541,4.03,37671.5389138798,8546000.0,4.723,High income
Israel,2017,1918.016,5.41,41138.470964272,8713300.0,4.14,High income
Israel,2018,1910.715,4.63,42362.6652754196,8882800.0,3.917,High income
Israel,2019,1894.942,6.15,44250.6313628073,9054000.0,3.731,High income
Italy,2010,1743.237,6.46,35856.8625485539,59819407.0,8.363,High income
Italy,2011,1739.031,6.82,38432.3742820019,60026841.0,8.359,High income
Italy,2012,1700.625,6.27,34854.3949441965,60191247.0,10.655,High income
Italy,2013,1687.479,6.34,35701.6746002376,60311613.0,12.149,High income
Italy,2014,1685.58,6.39,36028.3494022349,60320707.0,12.683,High income
Italy,2015,1688.082,6.22,30639.8829751432,60229605.0,11.896,High income
Italy,2016,1692.141,6.21,31391.5692898108,60115223.0,11.688,High income
Italy,2017,1690.696,5.77,32844.115660604,60002252.0,11.211,High income
Italy,2018,1690.236,6.26,34904.1081923834,60148658.0,10.538,High income
Italy,2019,1680.492,5.8,33812.788724868,59729081.0,9.884,High income
Latvia,2010,1692.401,10.85,11188.4191700977,2097555.0,19.482,High income
Latvia,2011,1707.045,12.4,12902.574053337,2059709.0,16.206,High income
Latvia,2012,1691.64,13.84,13329.3499931271,2034319.0,15.047,High income
Latvia,2013,1685.934,11.27,14484.4715282132,2012647.0,11.867,High income
Latvia,2014,1695.308,10.86,15185.814581236,1993782.0,10.846,High income
Latvia,2015,1663.186,7.65,13321.9753140616,1977527.0,9.873,High income
Latvia,2016,1663.836,9.0,13838.5266823272,1959537.0,9.643,High income
Latvia,2017,1649.865,8.28,15132.4958333982,1942248.0,8.715,High income
Latvia,2018,1661.178,7.68,17252.1710428626,1927174.0,7.412,High income
Latvia,2019,1660.633,9.49,17294.9751600969,1913822.0,6.312,High income
Lithuania,2010,1697.472,13.92,11829.122609457,3097282.0,17.814,High income
Lithuania,2011,1674.999,12.39,14261.8433787325,3028115.0,15.39,High income
Lithuania,2012,1673.034,13.56,14288.1853493139,2989139.0,13.365,High income
Lithuania,2013,1658.257,13.91,15636.5252586048,2961250.0,11.77,High income
Lithuania,2014,1650.661,14.55,16446.1647181663,2937253.0,10.698,High income
Lithuania,2015,1673.202,13.72,14269.8039878287,2911109.0,9.12,High income
Lithuania,2016,1694.331,14.52,14934.2702840428,2877325.0,7.862,High income
Lithuania,2017,1656.934,13.69,16800.1510246099,2842639.0,7.073,High income
Lithuania,2018,1664.095,15.28,19247.2315367967,2819200.0,6.147,High income
Lithuania,2019,1665.665,14.55,19608.7943945553,2811089.0,6.255,High income
Luxembourg,2011,1519.0,25.7,119025.057203467,518347.0,5.122,High income
Poland,2010,1828.972,2.43,12567.7317676382,38042794.0,9.578,High income
Poland,2011,1824.33,2.15,13867.6669408192,38063255.0,9.576,High income
Poland,2012,1819.688,2.22,13087.420943321,38063164.0,10.031,High income
Poland,2013,1816.434,1.31,13621.9023794031,38040196.0,10.293,High income
Poland,2014,1822.296,1.32,14262.2841914116,38011735.0,8.971,High income
Poland,2015,1829.159,1.17,12637.5220324406,37986412.0,7.475,High income
Poland,2016,1831.364,1.95,12464.0110508476,37970087.0,6.141,High income
Poland,2017,1811.616,2.28,13913.3402919927,37974826.0,4.867,High income
Poland,2018,1787.329,2.28,15658.2120316794,37974750.0,3.835,High income
Poland,2019,1796.511,2.06,15874.5220531254,37965475.0,3.267,High income
Portugal,2010,1755.048,5.22,22551.935098809,10573100.0,10.771,High income
Portugal,2011,1729.588,5.15,23246.5425416481,10557560.0,12.715,High income
Portugal,2012,1708.598,5.0,20593.4274224109,10514844.0,15.509,High income
Portugal,2013,1718.767,4.98,21676.4859642714,10457295.0,16.237,High income
Portugal,2014,1726.294,5.04,22120.6850127107,10401062.0,13.88,High income
Portugal,2015,1731.758,5.12,19215.7813014347,10358076.0,12.405,High income
Portugal,2016,1737.476,5.19,19980.2808866516,10325452.0,11.058,High income
Portugal,2017,1727.047,5.23,21442.3842768879,10300300.0,8.878,High income
Portugal,2018,1736.839,5.64,23541.1401075289,10283822.0,6.966,High income
Portugal,2019,1741.303,5.86,23343.3628970034,10286263.0,6.422,High income
Spain,2010,1703.215,4.1,30658.7422282912,46576897.0,19.86,High income
Spain,2011,1708.592,3.45,31824.6219134777,46742697.0,21.39,High income
Spain,2012,1699.222,3.95,28456.4438151477,46773055.0,24.789,High income
Spain,2013,1688.109,3.82,29228.846559842,46604197.0,26.094,High income
Spain,2014,1688.149,3.7,29707.765509467,46460733.0,24.441,High income
Spain,2015,1689.956,3.83,25982.4416197775,46422303.0,22.057,High income
Spain,2016,1696.839,3.95,26755.6061149398,46458139.0,19.635,High income
Spain,2017,1688.791,4.04,28381.3425596906,46571232.0,17.224,High income
Spain,2018,1693.496,3.78,30602.4212881113,46782011.0,15.255,High income
Spain,2019,1678.23,3.48,29786.5245689007,47118501.0,14.104,High income
Switzerland,2010,1611.235,7.1,76531.3729407691,7824909.0,4.808,High income
Switzerland,2011,1608.309,7.43,90476.7589651577,7912398.0,4.409,High income
Switzerland,2012,1592.564,7.31,85836.2076767359,7996861.0,4.491,High income
Switzerland,2013,1572.689,7.64,87304.3305813557,8089346.0,4.747,High income
Switzerland,2014,1564.47,6.15,88724.9909402638,8188649.0,4.826,High income
Switzerland,2015,1576.62,5.46,83806.4476003837,8282396.0,4.801,High income
Switzerland,2016,1577.044,6.14,82153.0745447889,8373338.0,4.918,High income
Switzerland,2017,1559.09,6.65,82254.3769269767,8451840.0,4.797,High income
Switzerland,2018,1551.416,7.62,85217.3691512274,8514329.0,4.713,High income
Switzerland,2019,1549.095,9.26,84121.9310304414,8575280.0,4.394,High income
Costa Rica,2010,2243.1,4.47,8265.78820275582,4555962.0,7.171,High income
Costa Rica,2011,2285.3,5.25,9276.39107511347,4609833.0,9.518,High income
Costa Rica,2012,2233.4,5.6,10126.9991024177,4663934.0,9.11,High income
Costa Rica,2013,2140.6,0.75,10803.2401962173,4716147.0,8.218,High income
Costa Rica,2014,2121.7,5.86,10911.497878334,4767119.0,8.499,High income
Costa Rica,2015,2148.2,3.54,11714.7105980732,4818038.0,8.415,High income
Costa Rica,2016,2204.7,5.76,12091.0301606154,4866998.0,8.085,High income
Costa Rica,2017,2178.9,5.57,12317.0902771304,4913177.0,7.729,High income
Costa Rica,2018,2121.0,2.68,12590.2493781614,4957818.0,9.01,High income
Costa Rica,2019,2059.6,3.23,12884.6859951989,4999553.0,10.807,High income
New Zealand,2010,1755.0,11.74,33761.9009639947,4350700.0,6.557,High income
New Zealand,2011,1746.0,9.28,38431.7766788499,4384000.0,6.491,High income
New Zealand,2012,1734.0,12.11,40053.6991536369,4408100.0,6.931,High income
New Zealand,2013,1756.0,12.2,43000.4646849189,4442100.0,5.839,High income
New Zealand,2014,1758.0,10.49,44618.266973847,4516500.0,5.428,High income
New Zealand,2015,1753.0,13.32,38665.3723018158,4609400.0,5.415,High income
New Zealand,2016,1754.0,13.48,40113.7195382428,4714100.0,5.147,High income
New Zealand,2017,1756.0,9.94,42950.3841711138,4813600.0,4.736,High income
New Zealand,2018,1759.0,11.05,43257.0769238879,4900600.0,4.335,High income
New Zealand,2019,1783.0,10.84,42855.831861632,4970300.0,4.109,High income
Canada,2010,1715.0,7.54,47560.6666009406,34005902.0,8.178,High income
Canada,2011,1711.0,7.99,52223.8588398531,34339221.0,7.637,High income
Canada,2012,1721.0,7.32,52670.3447335415,34713395.0,7.392,High income
Canada,2013,1714.0,7.35,52638.1187235237,35080992.0,7.143,High income
Canada,2014,1709.0,7.39,50960.8431174661,35434066.0,7.023,High income
Canada,2015,1710.0,7.39,43594.1941045394,35704498.0,6.945,High income
Australia,2013,1680.0,5.8,68476.6788496118,23128129.0,5.663,High income
Australia,2014,1672.0,8.46,62817.2061751737,23475686.0,6.078,High income
Australia,2015,1670.0,9.16,56970.3613028094,23815995.0,6.055,High income
Australia,2019,1651.0,5.83,55194.7585097428,25334826.0,5.143,High income
Chile,2015,1999.0,0.57,13433.9202987032,18047625.0,6.605,High income
Chile,2016,1983.0,0.63,13649.8520452803,18267221.0,6.926,High income
Chile,2017,1968.0,0.74,14879.9086227187,18558868.0,7.257,High income
Chile,2018,1961.0,0.8,15659.4808675628,18893191.0,7.623,High income
Chile,2019,1940.0,1.18,14495.716721687,19197744.0,7.493,High income
Ireland,2011,1668.0,5.77,52613.8540355689,4580084.0,15.354,High income
Ireland,2012,1663.0,6.15,49335.8408099555,4599533.0,15.451,High income
Ireland,2019,1742.0,9.38,81827.6688873996,4976456.0,4.95,High income
Luxembourg,2010,1521.0,28.12,110885.991378721,506953.0,4.423,High income
Luxembourg,2012,1514.0,26.22,112584.676270958,530946.0,5.03,High income
Luxembourg,2013,1506.0,23.88,120000.140729859,543360.0,6.045,High income
Luxembourg,2014,1512.0,25.4,123678.702143275,556319.0,6.044,High income
Luxembourg,2015,1519.0,25.07,105462.012584423,569604.0,6.796,High income
Luxembourg,2016,1518.0,24.68,106899.293549552,582014.0,6.669,High income
Luxembourg,2017,1508.0,24.6,110193.213797228,596336.0,5.523,High income
Luxembourg,2018,1499.0,24.88,116926.759593905,607950.0,5.589,High income
Luxembourg,2019,1493.0,23.21,112696.649059674,620001.0,5.592,High income
Norway,2010,1430.0,11.56,88163.2085931423,4889252.0,3.527,High income
Norway,2011,1435.0,11.54,101221.813476644,4953088.0,3.196,High income
Norway,2012,1431.0,11.64,102175.919298374,5018573.0,3.129,High income
Norway,2013,1421.0,11.63,103553.840134417,5079623.0,3.425,High income
Norway,2014,1424.0,11.72,97666.6951838749,5137232.0,3.486,High income
Norway,2015,1427.0,11.79,74809.9658049898,5188607.0,4.296,High income
Norway,2016,1430.0,11.8,70867.3609970749,5234519.0,4.68,High income
Norway,2017,1419.0,11.55,76131.8384032764,5276968.0,4.164,High income
Norway,2018,1419.0,11.25,82792.8427113304,5311916.0,3.801,High income
Norway,2019,1419.0,11.34,76430.5889473338,5347896.0,3.684,High income
Slovenia,2010,1680.0,11.5,23329.8417691156,2048583.0,7.236,High income
Slovenia,2011,1663.0,10.14,24940.6284841605,2052843.0,8.166,High income
Slovenia,2012,1644.0,7.09,22442.1417859955,2057159.0,8.841,High income
Slovenia,2013,1662.0,8.56,23236.9655321695,2059953.0,10.103,High income
Slovenia,2014,1682.0,8.66,24013.0682060959,2061980.0,9.668,High income
Slovenia,2015,1687.0,8.74,20697.2748530619,2063531.0,8.962,High income
Slovenia,2016,1652.0,8.85,21447.8377796036,2065042.0,8.0,High income
Slovenia,2017,1622.0,9.02,23303.077705959,2066388.0,6.564,High income
Slovenia,2018,1603.0,9.15,25888.0481065655,2073894.0,5.108,High income
Slovenia,2019,1601.0,9.58,25814.1687167572,2088385.0,4.446,High income
